path	size	sha256	asset
gcc/artifacts/src/gcc-10.5.0.tar.xz	77846412	25109543fdf46f397c347b5d8b7a2c7e5694a5a51cce4b9c6e1ea8a71ca307c1	gcc_artifacts_src_gcc-10.5.0.tar.xz
gcc/artifacts/src/gcc-11.5.0.tar.xz	82399864	a6e21868ead545cf87f0c01f84276e4b5281d672098591c1c896241f09363478	gcc_artifacts_src_gcc-11.5.0.tar.xz
gcc/artifacts/src/gcc-12.4.0.tar.xz	83377372	704f652604ccbccb14bdabf3478c9511c89788b12cb3bbffded37341916a9175	gcc_artifacts_src_gcc-12.4.0.tar.xz
gcc/artifacts/src/gcc-13.3.0.tar.xz	87909952	0845e9621c9543a13f484e94584a49ffc0129970e9914624235fc1d061a0c083	gcc_artifacts_src_gcc-13.3.0.tar.xz
gcc/artifacts/src/gcc-14.2.0.tar.xz	92306460	a7b39bc69cbf9e25826c5a60ab26477001f7c08d85cec04bc0e29cabed6f3cc9	gcc_artifacts_src_gcc-14.2.0.tar.xz
gcc/artifacts/src/gcc-8.5.0.tar.xz	63841008	d308841a511bb830a6100397b0042db24ce11f642dab6ea6ee44842e5325ed50	gcc_artifacts_src_gcc-8.5.0.tar.xz
gcc/artifacts/src/gcc-9.1.0.tar.xz	70546856	79a66834e96a6050d8fe78db2c3b32fb285b230b855d0a66288235bc04b327a0	gcc_artifacts_src_gcc-9.1.0.tar.xz
gcc/artifacts/src/gcc-9.5.0.tar.xz	72462752	27769f64ef1d4cd5e2be8682c0c93f9887983e6cfd1a927ce5a0a2915a95cf8f	gcc_artifacts_src_gcc-9.5.0.tar.xz
gcc/artifacts/src/gmp-6.1.2.tar.xz	1946336	87b565e89a9a684fe4ebeeddb8399dce2599f9c9049854ca8c0dfbdea0e21912	gcc_artifacts_src_gmp-6.1.2.tar.xz
gcc/artifacts/src/make-4.4.1.tar.gz	2348200	dd16fb1d67bfab79a72f5e8390735c49e3e8e70b4945a15ab1f81ddb78658fb3	gcc_artifacts_src_make-4.4.1.tar.gz
gcc/artifacts/src/mpc-1.1.0.tar.gz	701263	6985c538143c1208dcb1ac42cedad6ff52e267b47e5f970183a3e75125b43c2e	gcc_artifacts_src_mpc-1.1.0.tar.gz
